# proj, module, test, # tests selected (normal), % tests selected from normal, ground truth achieved?, empirical achieved?, overall time, analysis time, detection time, % overall time from normal, # tests selected (ekstazi), % tests selected from normal, ground truth achieved?, empirical achieved?, overall time, analysis time, detection time, % overall time from normal, # tests selected (IncIDFlakies_E), % tests selected from normal, ground truth achieved?, empirical achieved?, overall time, analysis time, detection time, % overall time from normal
wildfly/wildfly,naming,org.jboss.as.naming.NamingContextTestCase.testLookupEmptyName,82,100.00,Y,Y,18.824,0.00,18.824,100.00,82,100.00,Y,Y,18.895,0.3,18.595,100.37,82,100.00,Y,Y,18.629,0.293,18.336,98.96
wildfly/wildfly,naming,org.jboss.as.naming.NamingContextTestCase.testLookupNameNotFound,82,100.00,Y,Y,18.824,0.00,18.824,100.00,82,100.00,Y,Y,18.895,0.3,18.595,100.37,82,100.00,Y,Y,18.629,0.293,18.336,98.96
wildfly/wildfly,naming,org.jboss.as.naming.NamingContextTestCase.testRebindReferenceable,82,100.00,Y,Y,18.824,0.00,18.824,100.00,82,100.00,Y,Y,18.895,0.3,18.595,100.37,82,100.00,Y,Y,18.629,0.293,18.336,98.96
wildfly/wildfly,naming,org.jboss.as.naming.NamingEventCoordinatorTestCase.testFireMultiLevelEvent,82,100.00,Y,Y,18.824,0.00,18.824,100.00,82,100.00,Y,Y,18.895,0.3,18.595,100.37,82,100.00,Y,Y,18.629,0.293,18.336,98.96
wildfly/wildfly,naming,org.jboss.as.naming.NamingEventCoordinatorTestCase.testFireObjectEvent,82,100.00,Y,Y,18.824,0.00,18.824,100.00,82,100.00,Y,Y,18.895,0.3,18.595,100.37,82,100.00,Y,Y,18.629,0.293,18.336,98.96
wildfly/wildfly,naming,org.jboss.as.naming.ObjectFactoryTestCase.testBindAndRetrieveObjectFactoryFromInitialContext,82,100.00,Y,Y,18.824,0.00,18.824,100.00,82,100.00,Y,Y,18.895,0.3,18.595,100.37,82,100.00,Y,Y,18.629,0.293,18.336,98.96
wildfly/wildfly,naming,org.jboss.as.naming.ObjectFactoryTestCase.testBindAndRetrieveObjectFactoryFromNamingContext,82,100.00,Y,Y,18.824,0.00,18.824,100.00,82,100.00,Y,Y,18.895,0.3,18.595,100.37,82,100.00,Y,Y,18.629,0.293,18.336,98.96
wildfly/wildfly,naming,org.jboss.as.naming.subsystem.NamingSubsystemTestCase.testCompositeBindingOps,82,100.00,Y,Y,18.824,0.00,18.824,100.00,82,100.00,Y,Y,18.895,0.3,18.595,100.37,82,100.00,Y,Y,18.629,0.293,18.336,98.96
wildfly/wildfly,naming,org.jboss.as.naming.subsystem.NamingSubsystemTestCase.testCompositeBindingUpdate,82,100.00,Y,Y,18.824,0.00,18.824,100.00,82,100.00,Y,Y,18.895,0.3,18.595,100.37,82,100.00,Y,Y,18.629,0.293,18.336,98.96
wildfly/wildfly,naming,org.jboss.as.naming.subsystem.NamingSubsystemTestCase.testOnlyExternalContextAllowsCache,82,100.00,Y,Y,18.824,0.00,18.824,100.00,82,100.00,Y,Y,18.895,0.3,18.595,100.37,82,100.00,Y,Y,18.629,0.293,18.336,98.96
wildfly/wildfly,naming,org.jboss.as.naming.subsystem.NamingSubsystemTestCase.testRejectionsEAP6,82,100.00,Y,Y,18.824,0.00,18.824,100.00,82,100.00,Y,Y,18.895,0.3,18.595,100.37,82,100.00,Y,Y,18.629,0.293,18.336,98.96
wildfly/wildfly,naming,org.jboss.as.naming.subsystem.NamingSubsystemTestCase.testRejectionsEAP7,82,100.00,Y,Y,18.824,0.00,18.824,100.00,82,100.00,Y,Y,18.895,0.3,18.595,100.37,82,100.00,Y,Y,18.629,0.293,18.336,98.96
zalando/riptide,riptide-spring-boot-starter,org.zalando.riptide.spring.metrics.MetricsTest.shouldRecordRequests,57,100.00,Y,Y,94.008,0.00,94.008,100.00,3,5.26,Y,Y,24.708,0.095,24.613,26.28,41,71.92,Y,Y,97.325,0.121,97.204,103.52
Overall,67,,19099,100.00,67,,52.4891,0,52.4891,100.00,4706,24.64,48,45,,,,73.59,11348,59.41,67,57,,,,87.53
