# proj, module, test, # tests selected (normal), % tests selected from normal, ground truth achieved?, empirical achieved?, overall time, analysis time, detection time, % overall time from normal, # tests selected (starts), % tests selected from normal, ground truth achieved?, empirical achieved?, overall time, analysis time, detection time, % overall time from normal, # tests selected (IncIDFlakies_S), % tests selected from normal, ground truth achieved?, empirical achieved?, overall time, analysis time, detection time, % overall time from normal
wildfly/wildfly,naming,org.jboss.as.naming.NamingContextTestCase.testLookupEmptyName,82,100.00,Y,Y,18.824,0.00,18.824,100.00,82,100.00,Y,Y,18.697,0.001,18.696,99.32,82,100.00,Y,Y,18.744,0.029,18.715,99.57
wildfly/wildfly,naming,org.jboss.as.naming.NamingContextTestCase.testLookupNameNotFound,82,100.00,Y,Y,18.824,0.00,18.824,100.00,82,100.00,Y,Y,18.697,0.001,18.696,99.32,82,100.00,Y,Y,18.744,0.029,18.715,99.57
wildfly/wildfly,naming,org.jboss.as.naming.NamingContextTestCase.testRebindReferenceable,82,100.00,Y,Y,18.824,0.00,18.824,100.00,82,100.00,Y,Y,18.697,0.001,18.696,99.32,82,100.00,Y,Y,18.744,0.029,18.715,99.57
wildfly/wildfly,naming,org.jboss.as.naming.NamingEventCoordinatorTestCase.testFireMultiLevelEvent,82,100.00,Y,Y,18.824,0.00,18.824,100.00,82,100.00,Y,Y,18.697,0.001,18.696,99.32,82,100.00,Y,Y,18.744,0.029,18.715,99.57
wildfly/wildfly,naming,org.jboss.as.naming.NamingEventCoordinatorTestCase.testFireObjectEvent,82,100.00,Y,Y,18.824,0.00,18.824,100.00,82,100.00,Y,Y,18.697,0.001,18.696,99.32,82,100.00,Y,Y,18.744,0.029,18.715,99.57
wildfly/wildfly,naming,org.jboss.as.naming.ObjectFactoryTestCase.testBindAndRetrieveObjectFactoryFromInitialContext,82,100.00,Y,Y,18.824,0.00,18.824,100.00,82,100.00,Y,Y,18.697,0.001,18.696,99.32,82,100.00,Y,Y,18.744,0.029,18.715,99.57
wildfly/wildfly,naming,org.jboss.as.naming.ObjectFactoryTestCase.testBindAndRetrieveObjectFactoryFromNamingContext,82,100.00,Y,Y,18.824,0.00,18.824,100.00,82,100.00,Y,Y,18.697,0.001,18.696,99.32,82,100.00,Y,Y,18.744,0.029,18.715,99.57
wildfly/wildfly,naming,org.jboss.as.naming.subsystem.NamingSubsystemTestCase.testCompositeBindingOps,82,100.00,Y,Y,18.824,0.00,18.824,100.00,82,100.00,Y,Y,18.697,0.001,18.696,99.32,82,100.00,Y,Y,18.744,0.029,18.715,99.57
wildfly/wildfly,naming,org.jboss.as.naming.subsystem.NamingSubsystemTestCase.testCompositeBindingUpdate,82,100.00,Y,Y,18.824,0.00,18.824,100.00,82,100.00,Y,Y,18.697,0.001,18.696,99.32,82,100.00,Y,Y,18.744,0.029,18.715,99.57
wildfly/wildfly,naming,org.jboss.as.naming.subsystem.NamingSubsystemTestCase.testOnlyExternalContextAllowsCache,82,100.00,Y,Y,18.824,0.00,18.824,100.00,82,100.00,Y,Y,18.697,0.001,18.696,99.32,82,100.00,Y,Y,18.744,0.029,18.715,99.57
wildfly/wildfly,naming,org.jboss.as.naming.subsystem.NamingSubsystemTestCase.testRejectionsEAP6,82,100.00,Y,Y,18.824,0.00,18.824,100.00,82,100.00,Y,Y,18.697,0.001,18.696,99.32,82,100.00,Y,Y,18.744,0.029,18.715,99.57
wildfly/wildfly,naming,org.jboss.as.naming.subsystem.NamingSubsystemTestCase.testRejectionsEAP7,82,100.00,Y,Y,18.824,0.00,18.824,100.00,82,100.00,Y,Y,18.697,0.001,18.696,99.32,82,100.00,Y,Y,18.744,0.029,18.715,99.57
zalando/riptide,riptide-spring-boot-starter,org.zalando.riptide.spring.metrics.MetricsTest.shouldRecordRequests,57,100.00,Y,Y,94.008,0.00,94.008,100.00,3,5.26,Y,Y,23.190,0.001,23.189,24.66,16,28.07,Y,Y,51.779,0.015,51.764,55.07
Overall,67,,19099,100.00,67,,52.4891,0,52.4891,100.00,5081,26.60,49,45,,,,52.20,11715,61.33,67,49,,,,84.95
